id,nama,no_telepon,email
1,PT Abadi Jaya,081234567890,abadijaya@gmail.com
2,PT Bumi Makmur,082345678901,bumimakmur@yahoo.com
3,PT Cemerlang Sejahtera,083456789012,cemerlangsejahtera@hotmail.com
4,PT Damai Indah,084567890123,damaiindah@gmail.com
5,PT Eka Sakti,085678901234,ekasakti@yahoo.com
6,PT Fajar Bersama,086789012345,fajarbersama@hotmail.com
7,PT Gemilang Abadi,087890123456,gemilangabadi@gmail.com
8,PT Harapan Baru,088901234567,harapanbaru@yahoo.com
9,PT Indah Jaya,089012345678,indahjaya@hotmail.com
10,PT Jaya Makmur,090123456789,jayamakmur@gmail.com
11,PT Karya Bersatu,091234567890,karyabersatu@yahoo.com
12,PT Lestari Sejahtera,092345678901,lestarisejahtera@hotmail.com
13,PT Maju Cemerlang,093456789012,majucemerlang@gmail.com
14,PT Nusa Indah,094567890123,nusaindah@yahoo.com
15,PT Oke Bersama,095678901234,okebersama@hotmail.com
16,PT Persada Abadi,096789012345,persadaabadi@gmail.com
17,PT Qomariah Jaya,097890123456,qomariahjaya@yahoo.com
18,PT Rahayu Makmur,098901234567,rahayumakmur@hotmail.com
19,PT Sejahtera Bersama,099012345678,sejahterabersama@gmail.com
20,PT Terang Budi,100123456789,terangbudi@yahoo.com
21,PT Unggul Jaya,101234567890,ungguljaya@hotmail.com
22,PT Vira Makmur,102345678901,viramakmur@gmail.com
23,PT Wijaya Abadi,103456789012,wijayaabadi@yahoo.com
24,PT Xanadu Sejahtera,104567890123,xanadusejahtera@hotmail.com
25,PT Yudha Jaya,105678901234,yudhajaya@gmail.com
26,PT Zainab Makmur,106789012345,zainabmakmur@yahoo.com
27,PT Alam Sakti,107890123456,alamsakti@hotmail.com
28,PT Bersama Sentosa,108901234567,bersamasentosa@gmail.com
29,PT Cipta Mandiri,109012345678,ciptamandiri@yahoo.com
30,PT Duta Sejati,110123456789,dutasejati@hotmail.com
31,PT Energi Baru,111234567890,energibaru@gmail.com
32,PT Firdaus Makmur,112345678901,firdausmakmur@yahoo.com
33,PT Gema Abadi,113456789012,gemaabadi@hotmail.com
34,PT Harapan Indah,114567890123,harapanindah@gmail.com
35,PT Intan Sejahtera,115678901234,intansejahtera@yahoo.com
36,PT Jaya Lestari,116789012345,jayalestari@hotmail.com
37,PT Karya Makmur,117890123456,karyamakmur@gmail.com
38,PT Laju Bersama,118901234567,lajubersama@yahoo.com
39,PT Mulya Abadi,119012345678,mulyaabadi@hotmail.com
40,PT Nusantara Sejahtera,120123456789,nusantarasejahtera@gmail.com
41,PT Optimis Jaya,121234567890,optimisjaya@yahoo.com
42,PT Putra Makmur,122345678901,putramakmur@hotmail.com
43,PT Qasih Indah,123456789012,qasihindah@gmail.com
44,PT Raya Bersama,124567890123,rayabersama@yahoo.com
45,PT Sentosa Abadi,125678901234,sentosaabadi@hotmail.com
46,PT Tunggal Jaya,126789012345,tunggaljaya@gmail.com
47,PT Utama Makmur,127890123456,utamamakmur@yahoo.com
48,PT Vista Sejahtera,128901234567,vistasejahtera@hotmail.com
49,PT Wira Abadi,129012345678,wiraabadi@gmail.com
50,PT Xaverius Jaya,130123456789,xaveriusjaya@yahoo.com
